update_idx,total_steps,policy_loss,value_loss,entropy,constraint_loss_0,constraint_loss_1,constraint_loss_2,constraint_loss_3,constraint_violation_0,constraint_violation_1,constraint_violation_2,constraint_violation_3,lagrange_0,lagrange_1,lagrange_2,lagrange_3
30,253952,-0.08647514437689097,332.41708735376596,0.24883271847647848,1363954643238912.0,656674998190080.0,1619127642882048.0,2021117120217088.0,1363954643238912.0,656674998190080.0,1619127642882048.0,2021117120217088.0,7323724021760.0,3436761841664.0,8629155528704.0,10770142199808.0
31,262144,-0.07909881010527897,336.68844916671515,0.3124492233764613,1497649056317440.0,723773997187072.0,1780259649224704.0,2221571833856000.0,1497649056317440.0,723773997187072.0,1780259649224704.0,2221571833856000.0,8687678652416.0,4093436755968.0,10248282701824.0,12791259856896.0
32,270336,-0.08322058472731442,308.1713967192918,0.29048628502641805,1874647863787520.0,908174794162176.0,2231102634721280.0,2783619038838784.0,1874647863787520.0,908174794162176.0,2231102634721280.0,2783619038838784.0,10185328295936.0,4817210572800.0,12028542451712.0,15012831690752.0
33,278528,-0.03234768952643208,310.46233769133687,0.2921320107925567,2084575530450944.0,1013596108619776.0,2484259818307584.0,3099172165124096.0,2084575530450944.0,1013596108619776.0,2484259818307584.0,3099172165124096.0,12059976663040.0,5725385392128.0,14259645841408.0,17796450746368.0
34,286720,-0.0864257590028501,374.48279955610633,0.10849075744317815,2071216034676736.0,1010073027477504.0,2471504570744832.0,3083125093564416.0,2071216034676736.0,1010073027477504.0,2471504570744832.0,3083125093564416.0,14144552042496.0,6738981421056.0,16743905886208.0,20895624069120.0
35,294912,-0.07080893064994598,499.3008333519101,0.19421692837931914,2599784774893568.0,1279687384891392.0,3104500608925696.0,3857431998234624.0,2599784774893568.0,1279687384891392.0,3104500608925696.0,3857431998234624.0,16215768563712.0,7749054234624.0,19215411052544.0,23978749984768.0
36,303104,-0.06390565300171147,347.38990115746856,0.1353174417563423,2488792619417600.0,1224275864322048.0,2976144437542912.0,3705495919525888.0,2488792619417600.0,1224275864322048.0,2976144437542912.0,3705495919525888.0,18815553372160.0,9028741627904.0,22319911141376.0,27836182167552.0
37,311296,-0.08421254520453658,448.85157237946987,0.1415175916372391,3376590276788224.0,1657599141347328.0,4042146462040064.0,5040242369232896.0,3376590276788224.0,1657599141347328.0,4042146462040064.0,5040242369232896.0,21304346411008.0,10253018071040.0,25296055042048.0,31541677785088.0
38,319488,-0.08602657728988561,371.9293436035514,0.047648260475057214,4346381275758592.0,2143556571496448.0,5208022045425664.0,6484934076137472.0,4346381275758592.0,2143556571496448.0,5208022045425664.0,6484934076137472.0,24680937291776.0,11910617497600.0,29338202275840.0,36581922570240.0
39,327680,-0.030888766988027783,320.13506538793445,0.08252379947521149,4712803189391360.0,2324335368863744.0,5653129370533888.0,7045976527208448.0,4712803189391360.0,2324335368863744.0,5653129370533888.0,7045976527208448.0,29027318366208.0,14054174228480.0,34546225512448.0,43066857619456.0
40,335872,-0.08995019833218976,291.9858400840312,0.07431119713805856,4342747196555264.0,2147745506787328.0,5213953932132352.0,6496481095712768.0,4342747196555264.0,2147745506787328.0,5213953932132352.0,6496481095712768.0,33740122226688.0,16378509656064.0,40199354580992.0,50112835354624.0
41,344064,-0.08614620903972536,352.8952524624765,0.004633364251187544,4412506860683264.0,2185507530342400.0,5302359928340480.0,6609262105067520.0,4412506860683264.0,2185507530342400.0,5302359928340480.0,6609262105067520.0,38082871033856.0,18526255448064.0,45413306466304.0,56609317322752.0
42,352256,-0.08173860237093322,255.5553648751229,0.06942016547424146,5189188076961792.0,2575574312681472.0,6239696275374080.0,7774222055112704.0,5189188076961792.0,2575574312681472.0,6239696275374080.0,7774222055112704.0,42495379505152.0,20711762558976.0,50715665891328.0,63218579931136.0
43,360448,-0.08912968636923324,305.2479703044519,0.056254356560884844,5459374269005824.0,2716147786973184.0,6568908739837952.0,8181179870085120.0,5459374269005824.0,2716147786973184.0,6568908739837952.0,8181179870085120.0,47684568219648.0,23287337844736.0,56955364179968.0,70992806281216.0
44,368640,-0.07061865356899943,150.34096971340477,0.07061186936016384,5924141806911488.0,2954455658004480.0,7132837408931840.0,8880415578259456.0,5924141806911488.0,2954455658004480.0,7132837408931840.0,8880415578259456.0,53143941414912.0,26003485229056.0,63524273389568.0,79173989171200.0
45,376832,-0.05744983399290504,211.38331147562712,0.4571880886796862,7900555296899072.0,3951653380161536.0,9517069854834688.0,1.1836762364051456e+16,7900555296899072.0,3951653380161536.0,9517069854834688.0,1.1836762364051456e+16,59068081242112.0,28957940383744.0,70657110966272.0,88054404481024.0
46,385024,-0.08615395582546626,340.9459125213325,0.29560707609925885,6425196449759232.0,3218381666779136.0,7744981380890624.0,9635698999033856.0,6425196449759232.0,3218381666779136.0,7744981380890624.0,9635698999033856.0,66968635834368.0,32909593411584.0,80174179680256.0,99891166576640.0
47,393216,-0.07902222522170632,255.05548076704144,0.28645897627575323,7784946588450816.0,3903013680840704.0,9388734084546560.0,1.1681573384486912e+16,7784946588450816.0,3903013680840704.0,9388734084546560.0,1.1681573384486912e+16,73393835606016.0,36127973048320.0,87919163342848.0,109526866984960.0
48,401408,-0.08750212095310417,303.3001898471266,0.32830038492102176,1.0031425474527232e+16,5039472496345088.0,1.2103537815191552e+16,1.5051415462346752e+16,1.0031425474527232e+16,5039472496345088.0,1.2103537815191552e+16,1.5051415462346752e+16,81178782597120.0,40030986829824.0,97307894743040.0,121208439832576.0
49,409600,-0.08475230558997282,234.95705562643707,0.23847881694018724,1.0382923450548224e+16,5216115911294976.0,1.2534583954243584e+16,1.5598401022328832e+16,1.0382923450548224e+16,5216115911294976.0,1.2534583954243584e+16,1.5598401022328832e+16,91210207199232.0,45070459863040.0,109411431350272.0,136259859120128.0
50,417792,-0.07777241971234616,322.81033081933856,0.29435322820791043,9968823104962560.0,5012216633884672.0,1.2042011334934528e+16,1.499361808744448e+16,9968823104962560.0,5012216633884672.0,1.2042011334934528e+16,1.499361808744448e+16,101593131253760.0,50286576009216.0,121946016579584.0,151858265980928.0
51,425984,-0.08205365985668323,307.4685946870595,0.28888652243767865,1.0625637421154304e+16,5354518548054016.0,1.283901553115136e+16,1.5972910359379968e+16,1.0625637421154304e+16,5354518548054016.0,1.283901553115136e+16,1.5972910359379968e+16,111561951674368.0,55298794455040.0,133988031135744.0,166851879370752.0
52,434176,-0.07510977014499076,306.77140907756984,0.23747581240604632,1.381068745736192e+16,6973355609554944.0,1.6693912961810432e+16,2.0757302063661056e+16,1.381068745736192e+16,6973355609554944.0,1.6693912961810432e+16,2.0757302063661056e+16,122187591712768.0,60653314244608.0,146827047337984.0,182824795635712.0
53,442368,-0.06699026787919138,292.1144746746868,0.40298798339790665,1.1005702298402816e+16,5574990493646848.0,1.3308747514380288e+16,1.6534849921744896e+16,1.1005702298402816e+16,5574990493646848.0,1.3308747514380288e+16,1.6534849921744896e+16,135998277156864.0,67626671800320.0,163520964460544.0,203582104141824.0
54,450560,-0.08494690850602638,365.22488636896014,0.39780712383799255,1.2703397643812864e+16,6430070163898368.0,1.5368817840488448e+16,1.9110074731462656e+16,1.2703397643812864e+16,6430070163898368.0,1.5368817840488448e+16,1.9110074731462656e+16,147003979857920.0,73201660985344.0,176829709156352.0,220116956479488.0
55,458752,-0.07177759659225558,419.2021420560777,0.28403399548551533,1.5775030478635008e+16,7997924889853952.0,1.908947606831104e+16,2.3721495217831936e+16,1.5775030478635008e+16,7997924889853952.0,1.908947606831104e+16,2.3721495217831936e+16,159707385823232.0,79631730343936.0,192198528204800.0,239227027587072.0
56,466944,-0.08192486099687812,291.7887483537197,0.2860270716773812,1.929616922194739e+16,9766966084501504.0,2.336133429277491e+16,2.9071426740813824e+16,1.929616922194739e+16,9766966084501504.0,2.336133429277491e+16,2.9071426740813824e+16,175482414825472.0,87629655703552.0,211287996891136.0,262948517838848.0
57,475136,-0.06521580697335594,382.7857148386538,0.2553845344664296,1.908399998500864e+16,9697021468344320.0,2.311028486438912e+16,2.871767820192973e+16,1.908399998500864e+16,9697021468344320.0,2.311028486438912e+16,2.871767820192973e+16,194778578812928.0,97396621049856.0,234649330647040.0,292019960283136.0
58,483328,-0.08291241198276111,257.57453384716064,0.15994826201131218,2.1375476706574336e+16,1.0857636522098688e+16,2.5893170269126656e+16,3.21911020060672e+16,2.1375476706574336e+16,1.0857636522098688e+16,2.5893170269126656e+16,3.21911020060672e+16,213862578126848.0,107093642182656.0,257759610142720.0,320737655128064.0
59,491520,-0.07587615735064901,345.0877566244453,0.4103049136319896,2.396552022720512e+16,1.2165063221706752e+16,2.904126962794496e+16,3.613261496844288e+16,2.396552022720512e+16,1.2165063221706752e+16,2.904126962794496e+16,3.613261496844288e+16,235238059933696.0,117951277563904.0,283652793565184.0,352928770555904.0
60,499712,-0.07635324477860195,253.32924259081483,0.3071207028115168,2.1905819268284416e+16,1.1166699147493376e+16,2.655116784880845e+16,3.298255495705395e+16,2.1905819268284416e+16,1.1166699147493376e+16,2.655116784880845e+16,3.298255495705395e+16,259203574792192.0,130116344610816.0,312694053797888.0,389061390893056.0
61,507904,-0.0706001016405935,375.0150513090193,0.21741076671605697,2.255860490515251e+16,1.1485900043190272e+16,2.7352924426338304e+16,3.4017519668822016e+16,2.255860490515251e+16,1.1485900043190272e+16,2.7352924426338304e+16,3.4017519668822016e+16,281109401174016.0,141283049865216.0,339245239631872.0,422043954708480.0
62,516096,-0.0663241529264269,235.91855440475047,0.16493569179147016,2.5053248612204544e+16,1.277088124370944e+16,3.0385375348260864e+16,3.777958030763622e+16,2.5053248612204544e+16,1.277088124370944e+16,3.0385375348260864e+16,3.777958030763622e+16,303668012253184.0,152768950042624.0,366598175064064.0,456061471424512.0
63,524288,-0.07019493409961797,287.89573418721557,0.17499129737188923,2.84354752282624e+16,1.447909711151104e+16,3.449754239369216e+16,4.292728759045325e+16,2.84354752282624e+16,1.447909711151104e+16,3.449754239369216e+16,4.292728759045325e+16,328721261133824.0,165539833970688.0,396983558733824.0,493841043947520.0
64,532480,-0.06939515245085204,296.1895343642682,0.22565750264402595,2.40514410479616e+16,1.2250146523840512e+16,2.9189291380834304e+16,3.63405815798825e+16,2.40514410479616e+16,1.2250146523840512e+16,2.9189291380834304e+16,3.63405815798825e+16,357156729651200.0,180018923700224.0,431481105154048.0,536768336101376.0
65,540672,-0.06155733159584997,152.00087411887944,0.11823627820740512,3.124744615152845e+16,1.594268774825984e+16,3.79278898233344e+16,4.718940697657344e+16,3.124744615152845e+16,1.594268774825984e+16,3.79278898233344e+16,4.718940697657344e+16,381208177410048.0,192269076398080.0,460670407540736.0,573108893253632.0
66,548864,-0.07620708328067849,240.44529943168163,0.15093117136711953,2.943680175616819e+16,1.5029386575085568e+16,3.5737525221851136e+16,4.446028597244723e+16,2.943680175616819e+16,1.5029386575085568e+16,3.5737525221851136e+16,4.446028597244723e+16,412455641546752.0,208211760119808.0,498598290653184.0,620298302914560.0
67,557056,-0.0828747914010819,242.75995738245547,0.12450880848700763,3.5371143036665856e+16,1.804428718689485e+16,4.295550123062067e+16,5.348655917694976e+16,3.5371143036665856e+16,1.804428718689485e+16,4.295550123062067e+16,5.348655917694976e+16,441892441423872.0,223241142534144.0,534335807553536.0,664758596403200.0
68,565248,-0.08157446864697704,202.57303090952337,0.2192948843439808,3.5013060875780096e+16,1.7904044693520384e+16,4.252728010630758e+16,5.290968493955482e+16,3.5013060875780096e+16,1.7904044693520384e+16,4.252728010630758e+16,5.290968493955482e+16,477263577481216.0,241285424218112.0,577291318984704.0,718245166317568.0
69,573440,-0.06264977014961914,233.0825978089124,0.20715960960660595,3.493455746354381e+16,1.787743092867072e+16,4.243982168725914e+16,5.279530566549504e+16,3.493455746354381e+16,1.787743092867072e+16,4.243982168725914e+16,5.279530566549504e+16,512276654194688.0,259189465153536.0,619818608754688.0,771154868436992.0
70,581632,-0.06430141223700048,270.1055304463953,0.1970392642178922,5.258968840116634e+16,2.6941410724806656e+16,6.389952270250803e+16,7.946930743148544e+16,5.258968840116634e+16,2.6941410724806656e+16,6.389952270250803e+16,7.946930743148544e+16,547211213537280.0,277066897424384.0,662258455674880.0,823950149943296.0
71,589824,-0.07258087343234365,246.5828853622079,0.23394927944173105,3.904774241622426e+16,1.9978044672311296e+16,4.746170360817254e+16,5.910310508979814e+16,3.904774241622426e+16,1.9978044672311296e+16,4.746170360817254e+16,5.910310508979814e+16,599800907038720.0,304008321302528.0,726157972471808.0,903419460059136.0
72,598016,-0.0645481113151618,190.80392129905522,0.2421198705669667,4.248437767798784e+16,2.175891420689203e+16,5.164535394179482e+16,6.429178636061901e+16,4.248437767798784e+16,2.175891420689203e+16,5.164535394179482e+16,6.429178636061901e+16,638848669319168.0,323986361679872.0,773619709902848.0,962522572128256.0
73,606208,-0.0701141967251715,266.342306856066,0.17513859779865015,4.79353740764119e+16,2.4584783644327936e+16,5.827920151340646e+16,7.251614192631808e+16,4.79353740764119e+16,2.4584783644327936e+16,5.827920151340646e+16,7.251614192631808e+16,681333076525056.0,345745269981184.0,825265081024512.0,1026814340235264.0
74,614400,-0.06517123530920799,190.49919743835926,0.12302965615617723,4.68806460726313e+16,2.407310056803533e+16,5.700904224502579e+16,7.092553514798285e+16,4.68806460726313e+16,2.407310056803533e+16,5.700904224502579e+16,7.092553514798285e+16,729268468318208.0,370330065436672.0,883544297570304.0,1099330500952064.0
75,622592,-0.050743120666083996,319.4761715102941,0.3982211263064528,6.529957896178893e+16,3.352515320794317e+16,7.941838629922406e+16,9.882991190029107e+16,6.529957896178893e+16,3.352515320794317e+16,7.941838629922406e+16,9.882991190029107e+16,776149110095872.0,394403155804160.0,940553344647168.0,1170256047374336.0
76,630784,-0.07820464005180838,244.53918132185936,0.2058922608557623,6.153364855744102e+16,3.16201397911552e+16,7.485049101143245e+16,9.313616824526438e+16,6.153364855744102e+16,3.16201397911552e+16,7.485049101143245e+16,9.313616824526438e+16,841448719122432.0,427928328339456.0,1019971719135232.0,1269085929209856.0
77,638976,-0.07967789704434836,195.13875029236078,0.20028046034713043,5.912265578092954e+16,3.042786975468749e+16,7.192988748034867e+16,8.94701731399598e+16,5.912265578092954e+16,3.042786975468749e+16,7.192988748034867e+16,8.94701731399598e+16,902982380027904.0,459548481552384.0,1094822194577408.0,1362222160805888.0
78,647168,-0.06595284284685476,178.91343580652028,0.1454084954712016,5.165939418988544e+16,2.66007725735936e+16,6.286332748260966e+16,7.820872594017485e+16,5.165939418988544e+16,2.66007725735936e+16,6.286332748260966e+16,7.820872594017485e+16,962105020776448.0,489976345133056.0,1166752025149440.0,1451692369379328.0
79,655360,-0.06815250393447059,250.3801540862769,0.14005124011964654,6.968854161706189e+16,3.5894551373676544e+16,8.480865615504998e+16,1.0550388735134925e+17,6.968854161706189e+16,3.5894551373676544e+16,8.480865615504998e+16,1.0550388735134925e+17,1013764417650688.0,516577124417536.0,1229615313977344.0,1529901039484928.0
80,663552,-0.0790115232412063,174.0447311811149,0.2304997800019919,6.95477654740009e+16,3.582451334198067e+16,8.465291205096243e+16,1.0534621910191309e+17,6.95477654740009e+16,3.582451334198067e+16,8.465291205096243e+16,1.0534621910191309e+17,1083452946382848.0,552471676059648.0,1314424006639616.0,1635404897845248.0
81,671744,-0.08183602831650205,124.07944441679865,0.131919072875462,7.489898978213888e+16,3.857737907280282e+16,9.118209556453786e+16,1.135093284339712e+17,7.489898978213888e+16,3.857737907280282e+16,9.118209556453786e+16,1.135093284339712e+17,1153000747827200.0,588296166047744.0,1399076872519680.0,1740751184592896.0
82,679936,-0.07068027889272344,124.51044226251543,0.2576474994275486,7.175911099072512e+16,3.698301849305088e+16,8.73755261796352e+16,1.087869002228695e+17,7.175911099072512e+16,3.698301849305088e+16,8.73755261796352e+16,1.087869002228695e+17,1227899742978048.0,626873562300416.0,1490259028213760.0,1854260459339776.0
83,688128,-0.08449797977664275,224.08778459578753,0.198525277824956,7.617718063936307e+16,3.923544966692864e+16,9.276761710159462e+16,1.155591015759872e+17,7.617718063936307e+16,3.923544966692864e+16,9.276761710159462e+16,1.155591015759872e+17,1299658848600064.0,663856586162176.0,1577634500706304.0,1963047417544704.0
84,696320,-0.05214444307421218,161.70692058466375,0.1049336100995788,8.595061923957965e+16,4.43658353466409e+16,1.0467635023262515e+17,1.3028099533622477e+17,8.595061923957965e+16,4.43658353466409e+16,1.0467635023262515e+17,1.3028099533622477e+17,1375835999174656.0,703092051935232.0,1670402170421248.0,2078606465433600.0
85,704512,-0.07976933870486391,181.310950813815,0.05853786067498845,8.907680567525376e+16,4.59938427001897e+16,1.0850382751832474e+17,1.3508458983928627e+17,8.907680567525376e+16,4.59938427001897e+16,1.0850382751832474e+17,1.3508458983928627e+17,1461786616266752.0,747457856143360.0,1775078576488448.0,2208887453253632.0
86,712704,-0.08151134461786569,198.68899533711374,0.17761400104791392,9.17494092047319e+16,4.741903740305408e+16,1.1176616441728205e+17,1.3910278085279744e+17,9.17494092047319e+16,4.741903740305408e+16,1.1176616441728205e+17,1.3910278085279744e+17,1550863432679424.0,793451721392128.0,1883582469505024.0,2343971959341056.0
87,720896,-0.01824364562435221,178.27588231675327,0.13754859693653998,1.1617040427122688e+17,6.010984971894784e+16,1.4152086462031462e+17,1.7604217106805555e+17,1.1617040427122688e+17,6.010984971894784e+16,1.4152086462031462e+17,1.7604217106805555e+17,1642612792492032.0,840870777585664.0,1995348658618368.0,2483074675769344.0
88,729088,0.16565023889597796,182.18556344881654,0.13242662868015032,1.218244967881769e+17,6.298799320334336e+16,1.4844042630135808e+17,1.84805347460907e+17,1.218244967881769e+17,6.298799320334336e+16,1.4844042630135808e+17,1.84805347460907e+17,1758783202131968.0,900980656832512.0,2136869575852032.0,2659116795297792.0
89,737280,-0.07206603661961708,124.28955354355276,0.2308347299695015,1.00687571155157e+17,5.207234241049395e+16,1.2270487918451098e+17,1.528080816238756e+17,1.00687571155157e+17,5.207234241049395e+16,1.2270487918451098e+17,1.528080816238756e+17,1880607667781632.0,963968633929728.0,2285309953835008.0,2843922258722816.0
90,745472,-0.08610188478905911,160.45230719447136,0.049299138086382754,1.21540711119061e+17,6.29059163783168e+16,1.4813208200924365e+17,1.8443646130978816e+17,1.21540711119061e+17,6.29059163783168e+16,1.4813208200924365e+17,1.8443646130978816e+17,1981295257190400.0,1016040951644160.0,2408014753562624.0,2996730215792640.0
91,753664,-0.07643636364628037,140.5676041394472,0.18644930835580453,1.1143945484500992e+17,5.779181721459098e+16,1.358258668348375e+17,1.689802312211497e+17,1.1143945484500992e+17,5.779181721459098e+16,1.358258668348375e+17,1.689802312211497e+17,2102835986563072.0,1078946854600704.0,2556146833424384.0,3181166580465664.0
